ID,Time,SeriNumber,FinalResult,Description
3,10/13/2021 10:40:11 AM,A40079,UI,XA11
4,10/13/2021 10:43:52 AM,A40079,UI,XA11
5,10/13/2021 10:44:55 AM,A40079,UI,XA11
6,10/13/2021 10:47:01 AM,A40079,Pass,c huong
7,10/13/2021 10:47:16 AM,A40079,Pass,c huong
